Date,Open,High,Low,Close,Adj Close,Volume
2017-12-07,4.690000,4.720000,4.510000,4.680000,4.402114,81271600
2017-12-14,4.650000,4.730000,4.580000,4.620000,4.345677,53217400
2017-12-21,4.700000,4.830000,4.690000,4.730000,4.449146,49289200
2017-12-28,4.700000,4.830000,4.660000,4.830000,4.543208,40620300
2018-01-04,4.880000,4.920000,4.790000,4.850000,4.562021,59008100
2018-01-11,4.820000,5.000000,4.800000,4.950000,4.656083,40136600
2018-01-18,4.870000,4.930000,4.820000,4.910000,4.618458,64835600
2018-01-25,4.890000,4.970000,4.750000,4.810000,4.524396,118037300
2018-02-01,5.350000,5.610000,5.290000,5.510000,5.182832,218970700
2018-02-08,5.500000,5.680000,5.230000,5.650000,5.314519,108518500
2018-02-15,5.740000,5.810000,5.670000,5.690000,5.352144,71162100
2018-02-22,5.710000,5.950000,5.690000,5.800000,5.455612,69755800
2018-03-01,5.770000,5.920000,5.680000,5.880000,5.530862,61682500
2018-03-08,5.920000,5.960000,5.780000,5.820000,5.474425,55172200
2018-03-15,5.800000,5.820000,5.660000,5.710000,5.370956,69487300
2018-03-22,5.550000,5.590000,5.400000,5.430000,5.107582,81420300
2018-03-29,5.470000,5.510000,5.320000,5.430000,5.107582,43294100
2018-04-05,5.480000,5.640000,5.360000,5.570000,5.239269,66574500
2018-04-12,5.580000,5.890000,5.490000,5.850000,5.502643,64154700
2018-04-19,5.840000,6.110000,5.820000,5.920000,5.568487,86341900
2018-04-26,5.860000,6.030000,5.760000,5.780000,5.436800,116499400
2018-05-03,5.870000,6.350000,5.790000,6.350000,5.972955,74794900
2018-05-10,6.330000,6.410000,6.180000,6.240000,5.869486,69834700
2018-05-17,6.200000,6.250000,6.030000,6.090000,5.728393,43663100
2018-05-24,6.100000,6.140000,5.860000,5.970000,5.615518,78786800
2018-05-31,5.800000,5.960000,5.740000,5.890000,5.540268,69673300
2018-06-07,5.860000,6.120000,5.810000,6.080000,5.954369,53468700
2018-06-14,6.120000,6.140000,5.900000,5.970000,5.846642,80581300
2018-06-21,5.940000,5.980000,5.730000,5.730000,5.611600,83095100
2018-06-28,5.640000,5.810000,5.610000,5.680000,5.562634,47072300
2018-07-05,5.690000,5.970000,5.670000,5.840000,5.719328,64053100
2018-07-12,5.830000,6.090000,5.790000,6.040000,5.915195,74761000
2018-07-19,5.980000,6.010000,5.850000,5.980000,5.856435,79742700
2018-07-26,5.640000,5.660000,5.390000,5.430000,5.317800,152846000
2018-08-02,5.350000,5.430000,5.320000,5.390000,5.278626,57426400
2018-08-09,5.380000,5.400000,5.070000,5.090000,4.984825,42490300
2018-08-16,5.160000,5.450000,5.130000,5.410000,5.298213,52222000
2018-08-23,5.480000,5.780000,5.420000,5.710000,5.592014,44404900
2018-08-30,5.620000,5.650000,5.360000,5.400000,5.288419,30794200
2018-09-06,5.440000,5.460000,5.270000,5.310000,5.200279,39496000
2018-09-13,5.540000,5.650000,5.390000,5.460000,5.347180,54765300
2018-09-20,5.500000,5.620000,5.460000,5.530000,5.415734,55701500
2018-09-27,5.580000,5.700000,5.460000,5.470000,5.356973,86924500
2018-10-04,5.500000,5.550000,5.150000,5.160000,5.053379,62875100
2018-10-11,5.210000,5.580000,5.120000,5.520000,5.405940,76215300
2018-10-18,5.570000,5.660000,5.240000,5.260000,5.151312,113947900
2018-10-25,5.310000,5.720000,5.270000,5.620000,5.503873,131021700
2018-11-01,5.730000,5.990000,5.700000,5.980000,5.856435,87418400
2018-11-08,5.940000,5.970000,5.740000,5.790000,5.670361,66013000
2018-11-15,5.680000,5.850000,5.480000,5.530000,5.415734,87089800
2018-11-22,5.470000,5.560000,5.390000,5.480000,5.366766,49849100
2018-11-29,5.500000,5.640000,5.390000,5.400000,5.288419,63383500
2018-12-06,5.390000,6.060000,5.370000,6.040000,5.915195,184846100
2018-12-13,5.980000,6.050000,5.740000,5.770000,5.650774,115072900
2018-12-20,5.820000,5.850000,5.420000,5.560000,5.445113,113696400
2018-12-27,5.520000,5.850000,5.470000,5.740000,5.621394,95455200
2019-01-03,5.640000,6.240000,5.560000,6.210000,6.081682,136492100
2019-01-10,6.110000,6.180000,5.900000,5.950000,5.827055,90303900
2019-01-17,5.960000,6.130000,5.940000,6.050000,5.924989,73978000
2019-01-24,6.150000,6.650000,6.090000,6.570000,6.434244,194609000
2019-01-31,6.360000,6.400000,5.980000,6.050000,5.924989,201244500
2019-02-07,6.020000,6.350000,5.950000,6.320000,6.189410,148554800
2019-02-14,6.310000,6.340000,6.030000,6.100000,5.973955,84642800
2019-02-21,6.100000,6.280000,6.070000,6.120000,5.993542,134412600
2019-02-28,6.100000,6.190000,6.030000,6.100000,5.973955,117403300
2019-03-07,6.070000,6.250000,5.950000,6.140000,6.013129,110484900
2019-03-14,6.170000,6.420000,6.150000,6.290000,6.160029,108355200
2019-03-21,6.260000,6.340000,5.760000,5.820000,5.699741,208527400
2019-03-28,5.720000,5.960000,5.660000,5.900000,5.778088,120200500
2019-04-04,5.950000,5.960000,5.840000,5.850000,5.729121,65236800
2019-04-11,5.860000,5.960000,5.630000,5.820000,5.699741,115113200
2019-04-18,5.800000,5.840000,5.750000,5.790000,5.670361,64632300
2019-04-25,5.340000,5.450000,5.200000,5.220000,5.112138,179302000
2019-05-02,5.210000,5.220000,4.980000,4.980000,4.877098,148290200
2019-05-09,4.920000,4.970000,4.710000,4.770000,4.671437,130345800
2019-05-16,4.900000,5.170000,4.890000,5.130000,5.023999,198618400
2019-05-23,4.980000,5.150000,4.930000,5.040000,4.990657,83003900
2019-05-30,5.040000,5.150000,4.960000,5.050000,5.000560,104104000
2019-06-06,5.030000,5.190000,4.960000,5.100000,5.050070,97377500
2019-06-13,5.100000,5.100000,4.950000,5.040000,4.990657,71929300
2019-06-20,5.130000,5.190000,4.990000,5.020000,4.970853,87249200
2019-06-27,5.010000,5.120000,4.930000,5.120000,5.069874,82127600
2019-07-04,5.090000,5.090000,4.980000,5.060000,5.010462,45039500
2019-07-11,5.080000,5.210000,5.050000,5.160000,5.109482,122494100
2019-07-18,5.160000,5.220000,5.100000,5.180000,5.129287,115362000
2019-07-25,5.550000,5.770000,5.370000,5.410000,5.357035,208663100
2019-08-01,5.430000,5.500000,5.230000,5.320000,5.320000,105233400
2019-08-08,5.380000,5.450000,5.110000,5.120000,5.120000,94498700
2019-08-15,5.070000,5.250000,5.030000,5.170000,5.170000,57755700
2019-08-22,5.150000,5.180000,4.860000,4.890000,4.890000,97322100
2019-08-29,4.900000,4.980000,4.840000,4.910000,4.910000,50984300
2019-09-05,4.980000,5.120000,4.950000,5.100000,5.100000,72549700
2019-09-12,5.140000,5.250000,5.050000,5.140000,5.140000,70511200
2019-09-19,5.220000,5.330000,5.010000,5.070000,5.070000,97412400
2019-09-26,5.050000,5.110000,4.800000,4.820000,4.820000,137712600
2019-10-03,4.810000,4.960000,4.750000,4.910000,4.910000,84775000
2019-10-10,4.960000,5.120000,4.900000,5.090000,5.090000,117743900
2019-10-17,5.280000,5.280000,5.100000,5.110000,5.110000,142710100
2019-10-24,4.020000,4.090000,3.500000,3.650000,3.650000,530679300
2019-10-31,3.670000,3.700000,3.510000,3.590000,3.590000,168512100
2019-11-07,3.580000,3.610000,3.450000,3.470000,3.470000,136035200
2019-11-14,3.380000,3.490000,3.330000,3.350000,3.350000,143308800
2019-11-21,3.390000,3.510000,3.360000,3.460000,3.460000,94568300
2019-11-28,3.480000,3.540000,3.430000,3.450000,3.450000,88818700
2019-12-05,3.450000,3.510000,3.410000,3.470000,3.470000,78163000
2019-12-12,3.500000,3.630000,3.500000,3.600000,3.600000,90465200
2019-12-19,3.610000,3.640000,3.570000,3.630000,3.630000,61386600
2019-12-26,3.630000,3.730000,3.610000,3.710000,3.710000,59785800
2020-01-02,3.840000,4.050000,3.810000,4.020000,4.020000,186799000
2020-01-09,4.070000,4.110000,3.990000,4.060000,4.060000,120644400
2020-01-16,4.130000,4.240000,4.090000,4.090000,4.090000,99681600
2020-01-23,4.060000,4.090000,3.900000,3.910000,3.910000,139368600
2020-01-30,3.880000,4.030000,3.860000,4.030000,4.030000,137702900
2020-02-06,4.010000,4.530000,3.950000,4.410000,4.410000,373586700
2020-02-13,4.340000,4.400000,4.200000,4.200000,4.200000,102788200
2020-02-20,4.180000,4.430000,3.900000,4.150000,4.150000,211759400
2020-02-27,4.010000,4.120000,3.730000,3.860000,3.860000,231623600
2020-03-05,3.760000,3.790000,3.070000,3.130000,3.130000,213180800
2020-03-12,2.840000,2.930000,2.340000,2.430000,2.430000,182659300
2020-03-19,2.420000,3.150000,2.380000,3.070000,3.070000,232850100
2020-03-26,3.050000,3.200000,2.940000,2.970000,2.970000,138334800
2020-04-02,2.990000,3.280000,2.940000,3.240000,3.240000,109137600
2020-04-09,3.270000,3.430000,3.170000,3.230000,3.230000,83973600
2020-04-16,3.220000,3.680000,3.140000,3.380000,3.380000,175195200
2020-04-23,3.370000,3.550000,3.310000,3.510000,3.510000,100427700
2020-04-30,3.690000,3.700000,3.460000,3.460000,3.460000,151971900
2020-05-07,3.550000,3.630000,3.400000,3.440000,3.440000,90801400
2020-05-14,3.340000,3.830000,3.280000,3.820000,3.820000,109601300
2020-05-21,3.880000,3.930000,3.760000,3.910000,3.910000,81836400
2020-05-28,3.940000,4.400000,3.900000,4.370000,4.370000,151390300
2020-06-04,4.330000,4.540000,4.280000,4.450000,4.450000,179932300
2020-06-11,4.310000,4.440000,4.070000,4.410000,4.410000,197014100
2020-06-18,4.390000,4.420000,4.170000,4.200000,4.200000,124824700
